text,label,label_id
Abscess found near tooth 19; endodontic treatment is needed.,root_canal_form,8
"Patient says food gets stuck in tooth 14, possible cavity requiring filling.",filling_form,5
Patient cannot sleep because tooth 7 has constant pulsing pain.,root_canal_form,8
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Tooth 8 hurts when eating sweets and may need filling.,filling_form,5
Patient broke a crown while chewing and needs crown evaluation.,crown_bridge_form,2
Broken tooth 17 has poor prognosis and extraction is planned.,extraction_form,4
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Patient has bite issue and may need orthodontic treatment.,orthodontic_form,6
Patient is due for regular hygiene cleaning appointment.,cleaning_form,0
Severe nerve pain in tooth 20; root canal treatment recommended.,root_canal_form,8
Patient is unsure which tooth hurts and needs examination.,consultation_form,1
Patient needs crown placement on damaged tooth 4.,crown_bridge_form,2
Patient reports jaw pain and needs dental consultation.,consultation_form,1
Deep decay reached nerve of tooth 8; root canal therapy planned.,root_canal_form,8
Abscess found near tooth 20; endodontic treatment is needed.,root_canal_form,8
Tooth 31 cannot be restored and should be removed.,extraction_form,4
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
Patient requires root canal treatment on tooth 27 because of infection.,root_canal_form,8
Patient broke a crown while chewing and needs crown evaluation.,crown_bridge_form,2
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
Scaling and root planing recommended due to gum disease.,periodontal_form,7
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
Tooth 29 extraction is needed due to severe decay.,extraction_form,4
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
"Patient reports loose painful tooth 29, removal may be needed.",extraction_form,4
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Patient came for general dental assessment and treatment planning.,consultation_form,1
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Tartar accumulation found during exam; dental cleaning is required.,cleaning_form,0
Deep decay reached nerve of tooth 11; root canal therapy planned.,root_canal_form,8
Consultation needed for ongoing mouth pain and sensitivity.,consultation_form,1
Tooth 20 extraction is needed due to severe decay.,extraction_form,4
"Bleeding gums observed, cleaning and oral hygiene instructions recommended.",cleaning_form,0
Tooth 6 hurts when eating sweets and may need filling.,filling_form,5
Patient broke a crown while chewing and needs crown evaluation.,crown_bridge_form,2
Patient has bite issue and may need orthodontic treatment.,orthodontic_form,6
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
"Patient says food gets stuck in tooth 9, possible cavity requiring filling.",filling_form,5
"Patient reports loose painful tooth 12, removal may be needed.",extraction_form,4
Deep decay reached nerve of tooth 8; root canal therapy planned.,root_canal_form,8
Patient has swelling and pain around tooth 15; extraction may be required.,extraction_form,4
Patient cannot sleep because tooth 9 has constant pulsing pain.,root_canal_form,8
Tooth 24 extraction is needed due to severe decay.,extraction_form,4
Patient has swelling and pain around tooth 21; extraction may be required.,extraction_form,4
"Bleeding gums observed, cleaning and oral hygiene instructions recommended.",cleaning_form,0
Scaling and root planing recommended due to gum disease.,periodontal_form,7
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Patient woke up with swollen face and severe mouth pain.,emergency_form,3
Deep decay reached nerve of tooth 21; root canal therapy planned.,root_canal_form,8
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Patient cannot sleep because tooth 8 has constant pulsing pain.,root_canal_form,8
"Patient says food gets stuck in tooth 20, possible cavity requiring filling.",filling_form,5
Patient requires root canal treatment on tooth 10 because of infection.,root_canal_form,8
Consultation needed for ongoing mouth pain and sensitivity.,consultation_form,1
Patient came for general dental assessment and treatment planning.,consultation_form,1
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
"Dental exam showed tooth decay on tooth 8, restorative filling recommended.",filling_form,5
Tooth 31 hurts when eating sweets and may need filling.,filling_form,5
Tooth 18 hurts when eating sweets and may need filling.,filling_form,5
Patient requires root canal treatment on tooth 29 because of infection.,root_canal_form,8
Patient is unsure which tooth hurts and needs examination.,consultation_form,1
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Consultation needed for ongoing mouth pain and sensitivity.,consultation_form,1
Patient reports sensitivity to cold drinks and filling is needed on tooth 3.,filling_form,5
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Deep decay reached nerve of tooth 8; root canal therapy planned.,root_canal_form,8
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
Abscess found near tooth 14; endodontic treatment is needed.,root_canal_form,8
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
"Dental exam showed tooth decay on tooth 30, restorative filling recommended.",filling_form,5
Patient reports sensitivity to cold drinks and filling is needed on tooth 6.,filling_form,5
Patient has swelling and pain around tooth 17; extraction may be required.,extraction_form,4
"Dental exam showed tooth decay on tooth 28, restorative filling recommended.",filling_form,5
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Patient says teeth are shifting and wants orthodontic advice.,orthodontic_form,6
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Patient cannot sleep because tooth 15 has constant pulsing pain.,root_canal_form,8
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
"Dental exam showed tooth decay on tooth 20, restorative filling recommended.",filling_form,5
Patient says teeth are shifting and wants orthodontic advice.,orthodontic_form,6
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Tartar accumulation found during exam; dental cleaning is required.,cleaning_form,0
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient is unsure which tooth hurts and needs examination.,consultation_form,1
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Tooth 31 hurts when eating sweets and may need filling.,filling_form,5
"Bleeding gums observed, cleaning and oral hygiene instructions recommended.",cleaning_form,0
Patient reports sensitivity to cold drinks and filling is needed on tooth 15.,filling_form,5
Patient has swelling and pain around tooth 1; extraction may be required.,extraction_form,4
Patient came for general dental assessment and treatment planning.,consultation_form,1
Patient needs crown placement on damaged tooth 32.,crown_bridge_form,2
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
"Dental exam showed tooth decay on tooth 23, restorative filling recommended.",filling_form,5
"Patient says food gets stuck in tooth 16, possible cavity requiring filling.",filling_form,5
Tooth 11 cannot be restored and should be removed.,extraction_form,4
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
Periodontal charting required because of bleeding and bone loss.,periodontal_form,7
Tooth 28 cannot be restored and should be removed.,extraction_form,4
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
"Patient reports loose painful tooth 22, removal may be needed.",extraction_form,4
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
"Bleeding gums observed, cleaning and oral hygiene instructions recommended.",cleaning_form,0
Tooth 19 extraction is needed due to severe decay.,extraction_form,4
Patient needs crown placement on damaged tooth 3.,crown_bridge_form,2
Severe nerve pain in tooth 17; root canal treatment recommended.,root_canal_form,8
Patient needs crown placement on damaged tooth 28.,crown_bridge_form,2
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Patient reports jaw pain and needs dental consultation.,consultation_form,1
Old crown on tooth 8 is loose and needs replacement.,crown_bridge_form,2
Tooth 31 cannot be restored and should be removed.,extraction_form,4
Patient broke tooth 7 yesterday and reports sharp pain.,emergency_form,3
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
Patient reports jaw pain and needs dental consultation.,consultation_form,1
"Dental exam showed tooth decay on tooth 9, restorative filling recommended.",filling_form,5
"Bleeding gums observed, cleaning and oral hygiene instructions recommended.",cleaning_form,0
Patient came for general dental assessment and treatment planning.,consultation_form,1
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
"Patient reports loose painful tooth 28, removal may be needed.",extraction_form,4
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient has cavity on tooth 27 and needs composite filling.,filling_form,5
Abscess found near tooth 21; endodontic treatment is needed.,root_canal_form,8
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
Patient reports jaw pain and needs dental consultation.,consultation_form,1
Scaling and root planing recommended due to gum disease.,periodontal_form,7
"Dental exam showed tooth decay on tooth 14, restorative filling recommended.",filling_form,5
"Dental exam showed tooth decay on tooth 5, restorative filling recommended.",filling_form,5
"Dental exam showed tooth decay on tooth 4, restorative filling recommended.",filling_form,5
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
Patient broke tooth 26 yesterday and reports sharp pain.,emergency_form,3
Clear aligner assessment requested for teeth alignment.,orthodontic_form,6
Patient reports jaw pain and needs dental consultation.,consultation_form,1
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient needs crown placement on damaged tooth 29.,crown_bridge_form,2
Patient requires root canal treatment on tooth 13 because of infection.,root_canal_form,8
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Severe nerve pain in tooth 6; root canal treatment recommended.,root_canal_form,8
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient broke a crown while chewing and needs crown evaluation.,crown_bridge_form,2
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
Tooth 2 hurts when eating sweets and may need filling.,filling_form,5
Patient has gum inflammation and periodontal assessment is required.,periodontal_form,7
Patient came for general dental assessment and treatment planning.,consultation_form,1
Patient has cavity on tooth 27 and needs composite filling.,filling_form,5
Patient reports jaw pain and needs dental consultation.,consultation_form,1
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
Broken tooth 19 has poor prognosis and extraction is planned.,extraction_form,4
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
"Patient reports loose painful tooth 22, removal may be needed.",extraction_form,4
Patient has cavity on tooth 1 and needs composite filling.,filling_form,5
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Patient broke tooth 31 yesterday and reports sharp pain.,emergency_form,3
Bridge replacement required due to fractured dental restoration.,crown_bridge_form,2
Patient has swelling and pain around tooth 10; extraction may be required.,extraction_form,4
Patient cannot sleep because tooth 11 has constant pulsing pain.,root_canal_form,8
Tooth 32 hurts when eating sweets and may need filling.,filling_form,5
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Patient has plaque buildup and needs dental cleaning.,cleaning_form,0
Patient came for general dental assessment and treatment planning.,consultation_form,1
Patient reports sensitivity to cold drinks and filling is needed on tooth 14.,filling_form,5
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Facial swelling and severe tooth pain require urgent dental care.,emergency_form,3
Consultation needed for ongoing mouth pain and sensitivity.,consultation_form,1
Patient needs crown placement on damaged tooth 14.,crown_bridge_form,2
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Patient has dental trauma after accident and needs emergency evaluation.,emergency_form,3
Deep decay reached nerve of tooth 7; root canal therapy planned.,root_canal_form,8
Tooth 2 extraction is needed due to severe decay.,extraction_form,4
"Dental exam showed tooth decay on tooth 13, restorative filling recommended.",filling_form,5
Scaling and root planing recommended due to gum disease.,periodontal_form,7
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Tartar accumulation found during exam; dental cleaning is required.,cleaning_form,0
Patient has plaque buildup and needs dental cleaning.,cleaning_form,0
Patient has general tooth discomfort and requests dental evaluation.,consultation_form,1
"Patient reports loose painful tooth 7, removal may be needed.",extraction_form,4
Tartar accumulation found during exam; dental cleaning is required.,cleaning_form,0
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Patient cannot sleep because tooth 31 has constant pulsing pain.,root_canal_form,8
Patient needs crown placement on damaged tooth 2.,crown_bridge_form,2
Severe nerve pain in tooth 18; root canal treatment recommended.,root_canal_form,8
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Patient has bite issue and may need orthodontic treatment.,orthodontic_form,6
Tooth 15 cannot be restored and should be removed.,extraction_form,4
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Deep pockets and bleeding gums suggest periodontal disease.,periodontal_form,7
Patient needs orthodontic consultation for crowded teeth.,orthodontic_form,6
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Scaling and root planing recommended due to gum disease.,periodontal_form,7
Patient came for general dental assessment and treatment planning.,consultation_form,1
Consultation needed for ongoing mouth pain and sensitivity.,consultation_form,1
Patient says teeth are shifting and wants orthodontic advice.,orthodontic_form,6
Patient says teeth are shifting and wants orthodontic advice.,orthodontic_form,6
Tooth 20 extraction is needed due to severe decay.,extraction_form,4
Patient has plaque buildup and needs dental cleaning.,cleaning_form,0
"Patient reports loose teeth and gum recession, periodontal treatment needed.",periodontal_form,7
"Patient reports loose painful tooth 32, removal may be needed.",extraction_form,4
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
"Patient says food gets stuck in tooth 30, possible cavity requiring filling.",filling_form,5
Tooth 8 hurts when eating sweets and may need filling.,filling_form,5
Patient broke a crown while chewing and needs crown evaluation.,crown_bridge_form,2
Patient reports jaw pain and needs dental consultation.,consultation_form,1
Patient reports sensitivity to cold drinks and filling is needed on tooth 23.,filling_form,5
Braces consultation requested due to misaligned teeth.,orthodontic_form,6
Patient has swelling and pain around tooth 16; extraction may be required.,extraction_form,4
"Patient reports bad breath and plaque buildup, cleaning recommended.",cleaning_form,0
Large restoration on tooth 30 failed; crown treatment recommended.,crown_bridge_form,2
Broken tooth 3 has poor prognosis and extraction is planned.,extraction_form,4
Broken tooth 13 has poor prognosis and extraction is planned.,extraction_form,4
