split,sentence,tokens,ner_tags,ner_labels
train,The patient has sialadenitis and was started on zinc oxide eugenol .,The|patient|has|sialadenitis|and|was|started|on|zinc|oxide|eugenol|.,0 0 0 1 0 0 0 0 3 4 4 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|I-Chemical|I-Chemical|O
train,Prescribed ibuprofen to manage oral leukoplakia .,Prescribed|ibuprofen|to|manage|oral|leukoplakia|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,Prescribed stannous fluoride to manage gingival recession .,Prescribed|stannous|fluoride|to|manage|gingival|recession|.,0 3 4 0 0 1 2 0,O|B-Chemical|I-Chemical|O|O|B-Disease|I-Disease|O
train,Prescribed amoxicillin clavulanate to manage open bite .,Prescribed|amoxicillin|clavulanate|to|manage|open|bite|.,0 3 4 0 0 1 2 0,O|B-Chemical|I-Chemical|O|O|B-Disease|I-Disease|O
train,"Patient reports open bite , tramadol prescribed .","Patient|reports|open|bite|,|tramadol|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Prescribed clarithromycin to manage embedded tooth .,Prescribed|clarithromycin|to|manage|embedded|tooth|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,"Patient reports tooth loss , tetracycline prescribed .","Patient|reports|tooth|loss|,|tetracycline|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,"Patient reports impacted tooth , levonordefrin prescribed .","Patient|reports|impacted|tooth|,|levonordefrin|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Mineral trioxide aggregate was administered for sialadenitis .,Mineral|trioxide|aggregate|was|administered|for|sialadenitis|.,0 0 0 0 0 0 1 0,O|O|O|O|O|O|B-Disease|O
train,Azithromycin was administered for overbite .,Azithromycin|was|administered|for|overbite|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,The patient has malocclusion and was started on calcium hydroxide .,The|patient|has|malocclusion|and|was|started|on|calcium|hydroxide|.,0 0 0 1 0 0 0 0 3 4 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|I-Chemical|O
train,The patient has open bite and was started on codeine .,The|patient|has|open|bite|and|was|started|on|codeine|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Patient was prescribed dexamethasone for ankylosis .,Patient|was|prescribed|dexamethasone|for|ankylosis|.,0 0 0 3 0 1 0,O|O|O|B-Chemical|O|B-Disease|O
train,Prescribed stannous fluoride to manage pericoronitis .,Prescribed|stannous|fluoride|to|manage|pericoronitis|.,0 3 4 0 0 1 0,O|B-Chemical|I-Chemical|O|O|B-Disease|O
train,Patient was prescribed midazolam for oral mucositis .,Patient|was|prescribed|midazolam|for|oral|mucositis|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Prescribed amoxicillin clavulanate to manage ankylosis .,Prescribed|amoxicillin|clavulanate|to|manage|ankylosis|.,0 3 4 0 0 1 0,O|B-Chemical|I-Chemical|O|O|B-Disease|O
train,Treatment for periodontal disease includes chlorhexidine .,Treatment|for|periodontal|disease|includes|chlorhexidine|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Diagnosis of aphthous ulcer confirmed , fluconazole recommended .","Diagnosis|of|aphthous|ulcer|confirmed|,|fluconazole|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,The patient has mucocele and was started on dexamethasone .,The|patient|has|mucocele|and|was|started|on|dexamethasone|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,"Patient reports pericoronal infection , triamcinolone prescribed .","Patient|reports|pericoronal|infection|,|triamcinolone|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Prescribed calcium hydroxide to manage pericoronitis .,Prescribed|calcium|hydroxide|to|manage|pericoronitis|.,0 3 4 0 0 1 0,O|B-Chemical|I-Chemical|O|O|B-Disease|O
train,Patient was prescribed silver diamine fluoride for radicular cyst .,Patient|was|prescribed|silver|diamine|fluoride|for|radicular|cyst|.,0 0 0 3 4 4 0 1 2 0,O|O|O|B-Chemical|I-Chemical|I-Chemical|O|B-Disease|I-Disease|O
train,"Diagnosis of crowding confirmed , nitrous oxide recommended .","Diagnosis|of|crowding|confirmed|,|nitrous|oxide|recommended|.",0 0 1 0 0 3 4 0 0,O|O|B-Disease|O|O|B-Chemical|I-Chemical|O|O
train,The patient has acute gingivitis and was started on minocycline .,The|patient|has|acute|gingivitis|and|was|started|on|minocycline|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,"Patient reports sialadenitis , amoxicillin prescribed .","Patient|reports|sialadenitis|,|amoxicillin|prescribed|.",0 0 1 0 3 0 0,O|O|B-Disease|O|B-Chemical|O|O
train,The patient has gingival hyperplasia and was started on lidocaine .,The|patient|has|gingival|hyperplasia|and|was|started|on|lidocaine|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,"Diagnosis of gingival recession confirmed , mepivacaine recommended .","Diagnosis|of|gingival|recession|confirmed|,|mepivacaine|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,"Diagnosis of bleeding gums confirmed , pilocarpine recommended .","Diagnosis|of|bleeding|gums|confirmed|,|pilocarpine|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,Treatment for tmj disorder includes sodium hypochlorite .,Treatment|for|tmj|disorder|includes|sodium|hypochlorite|.,0 0 1 2 0 3 4 0,O|O|B-Disease|I-Disease|O|B-Chemical|I-Chemical|O
train,Prescribed silver diamine fluoride to manage sialadenitis .,Prescribed|silver|diamine|fluoride|to|manage|sialadenitis|.,0 3 4 4 0 0 1 0,O|B-Chemical|I-Chemical|I-Chemical|O|O|B-Disease|O
train,"Diagnosis of angular cheilitis confirmed , fluoride recommended .","Diagnosis|of|angular|cheilitis|confirmed|,|fluoride|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,Patient was prescribed hydrogen peroxide for tooth mobility .,Patient|was|prescribed|hydrogen|peroxide|for|tooth|mobility|.,0 0 0 3 4 0 1 2 0,O|O|O|B-Chemical|I-Chemical|O|B-Disease|I-Disease|O
train,"Diagnosis of delayed eruption confirmed , epinephrine recommended .","Diagnosis|of|delayed|eruption|confirmed|,|epinephrine|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,"Diagnosis of odontogenic cyst confirmed , amoxicillin clavulanate recommended .","Diagnosis|of|odontogenic|cyst|confirmed|,|amoxicillin|clavulanate|recommended|.",0 0 1 2 0 0 3 4 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|I-Chemical|O|O
train,"Patient reports tooth abrasion , metronidazole prescribed .","Patient|reports|tooth|abrasion|,|metronidazole|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,The patient has calculus and was started on amoxicillin .,The|patient|has|calculus|and|was|started|on|amoxicillin|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,"Diagnosis of gingivitis confirmed , sodium fluoride recommended .","Diagnosis|of|gingivitis|confirmed|,|sodium|fluoride|recommended|.",0 0 1 0 0 3 4 0 0,O|O|B-Disease|O|O|B-Chemical|I-Chemical|O|O
train,Patient was prescribed clindamycin for radicular cyst .,Patient|was|prescribed|clindamycin|for|radicular|cyst|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Prescribed bupivacaine to manage toothache .,Prescribed|bupivacaine|to|manage|toothache|.,0 3 0 0 1 0,O|B-Chemical|O|O|B-Disease|O
train,Patient was prescribed bupivacaine for burning mouth syndrome .,Patient|was|prescribed|bupivacaine|for|burning|mouth|syndrome|.,0 0 0 3 0 1 2 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|I-Disease|O
train,Patient was prescribed tranexamic acid for ankylosis .,Patient|was|prescribed|tranexamic|acid|for|ankylosis|.,0 0 0 3 4 0 1 0,O|O|O|B-Chemical|I-Chemical|O|B-Disease|O
train,Treatment for malocclusion includes tramadol .,Treatment|for|malocclusion|includes|tramadol|.,0 0 1 0 3 0,O|O|B-Disease|O|B-Chemical|O
train,Prescribed sodium hypochlorite to manage oral thrush .,Prescribed|sodium|hypochlorite|to|manage|oral|thrush|.,0 3 4 0 0 1 2 0,O|B-Chemical|I-Chemical|O|O|B-Disease|I-Disease|O
train,Treatment for gingival recession includes aspirin .,Treatment|for|gingival|recession|includes|aspirin|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Patient reports underbite , nitrous oxide prescribed .","Patient|reports|underbite|,|nitrous|oxide|prescribed|.",0 0 1 0 3 4 0 0,O|O|B-Disease|O|B-Chemical|I-Chemical|O|O
train,"Diagnosis of tmj disorder confirmed , bupivacaine recommended .","Diagnosis|of|tmj|disorder|confirmed|,|bupivacaine|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,Prescribed doxycycline to manage chronic gingivitis .,Prescribed|doxycycline|to|manage|chronic|gingivitis|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,"Patient reports odontogenic cyst , amlexanox prescribed .","Patient|reports|odontogenic|cyst|,|amlexanox|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,The patient has xerostomia and was started on erythromycin .,The|patient|has|xerostomia|and|was|started|on|erythromycin|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,Prescribed tetracaine to manage tartar buildup .,Prescribed|tetracaine|to|manage|tartar|buildup|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,Tramadol was administered for mucocele .,Tramadol|was|administered|for|mucocele|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,Treatment for cracked tooth includes pilocarpine .,Treatment|for|cracked|tooth|includes|pilocarpine|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,The patient has oral infection and was started on lidocaine .,The|patient|has|oral|infection|and|was|started|on|lidocaine|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Treatment for gingival enlargement includes nitrous oxide .,Treatment|for|gingival|enlargement|includes|nitrous|oxide|.,0 0 1 2 0 3 4 0,O|O|B-Disease|I-Disease|O|B-Chemical|I-Chemical|O
train,"Diagnosis of mucocele confirmed , ketorolac recommended .","Diagnosis|of|mucocele|confirmed|,|ketorolac|recommended|.",0 0 1 0 0 3 0 0,O|O|B-Disease|O|O|B-Chemical|O|O
train,Doxycycline was administered for dry mouth .,Doxycycline|was|administered|for|dry|mouth|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,The patient has retained root and was started on diclofenac .,The|patient|has|retained|root|and|was|started|on|diclofenac|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Acetaminophen was administered for delayed eruption .,Acetaminophen|was|administered|for|delayed|eruption|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,Prescribed fluoride to manage impacted wisdom tooth .,Prescribed|fluoride|to|manage|impacted|wisdom|tooth|.,0 3 0 0 1 2 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|I-Disease|O
train,Patient was prescribed mineral trioxide aggregate for pericoronitis .,Patient|was|prescribed|mineral|trioxide|aggregate|for|pericoronitis|.,0 0 0 3 4 4 0 1 0,O|O|O|B-Chemical|I-Chemical|I-Chemical|O|B-Disease|O
train,Patient was prescribed midazolam for tooth fracture .,Patient|was|prescribed|midazolam|for|tooth|fracture|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,The patient has aphthous ulcer and was started on minocycline .,The|patient|has|aphthous|ulcer|and|was|started|on|minocycline|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,The patient has dry mouth and was started on aspirin .,The|patient|has|dry|mouth|and|was|started|on|aspirin|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,"Patient reports dry mouth , aspirin prescribed .","Patient|reports|dry|mouth|,|aspirin|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Treatment for malocclusion includes zinc oxide eugenol .,Treatment|for|malocclusion|includes|zinc|oxide|eugenol|.,0 0 1 0 3 4 4 0,O|O|B-Disease|O|B-Chemical|I-Chemical|I-Chemical|O
train,Treatment for tartar buildup includes zinc oxide eugenol .,Treatment|for|tartar|buildup|includes|zinc|oxide|eugenol|.,0 0 1 2 0 3 4 4 0,O|O|B-Disease|I-Disease|O|B-Chemical|I-Chemical|I-Chemical|O
