split,sentence,tokens,ner_tags,ner_labels
train,Treatment for jaw pain includes naproxen .,Treatment | for | jaw | pain | includes | naproxen | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,"Diagnosis of oral infection confirmed , naproxen recommended .","Diagnosis | of | oral | infection | confirmed | , | naproxen | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,Treatment for periodontitis includes amoxicillin .,Treatment | for | periodontitis | includes | amoxicillin | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,"Diagnosis of infection confirmed , chlorhexidine recommended .","Diagnosis | of | infection | confirmed | , | chlorhexidine | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,"Patient reports gum disease , acetaminophen prescribed .","Patient | reports | gum | disease | , | acetaminophen | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Chlorhexidine was administered for gum disease .,Chlorhexidine | was | administered | for | gum | disease | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Treatment for tooth loss includes acetaminophen .,Treatment | for | tooth | loss | includes | acetaminophen | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,Treatment for tooth loss includes fluoride .,Treatment | for | tooth | loss | includes | fluoride | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,"Patient reports tooth decay , ibuprofen prescribed .","Patient | reports | tooth | decay | , | ibuprofen | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Treatment for tooth decay includes metronidazole .,Treatment | for | tooth | decay | includes | metronidazole | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,Patient was prescribed ibuprofen for oral infection .,Patient | was | prescribed | ibuprofen | for | oral | infection | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,Treatment for dental caries includes ibuprofen .,Treatment | for | dental | caries | includes | ibuprofen | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,The patient has gingivitis and was started on acetaminophen .,The | patient | has | gingivitis | and | was | started | on | acetaminophen | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed penicillin for gum disease .,Patient | was | prescribed | penicillin | for | gum | disease | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,The patient has inflammation and was started on lidocaine .,The | patient | has | inflammation | and | was | started | on | lidocaine | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed naproxen for inflammation .,Patient | was | prescribed | naproxen | for | inflammation | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,The patient has sensitivity and was started on penicillin .,The | patient | has | sensitivity | and | was | started | on | penicillin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,"Patient reports inflammation , metronidazole prescribed .","Patient | reports | inflammation | , | metronidazole | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,"Patient reports toothache , ibuprofen prescribed .","Patient | reports | toothache | , | ibuprofen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,"Diagnosis of toothache confirmed , lidocaine recommended .","Diagnosis | of | toothache | confirmed | , | lidocaine | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,The patient has oral infection and was started on aspirin .,The | patient | has | oral | infection | and | was | started | on | aspirin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Treatment for infection includes lidocaine .,Treatment | for | infection | includes | lidocaine | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,Prescribed penicillin to manage cavity .,Prescribed | penicillin | to | manage | cavity | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Fluoride was administered for dental caries .,Fluoride | was | administered | for | dental | caries | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,"Diagnosis of inflammation confirmed , tetracycline recommended .","Diagnosis | of | inflammation | confirmed | , | tetracycline | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,The patient has inflammation and was started on amoxicillin .,The | patient | has | inflammation | and | was | started | on | amoxicillin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,"Diagnosis of periodontitis confirmed , fluoride recommended .","Diagnosis | of | periodontitis | confirmed | , | fluoride | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,"Patient reports gum disease , ibuprofen prescribed .","Patient | reports | gum | disease | , | ibuprofen | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Prescribed lidocaine to manage cavity .,Prescribed | lidocaine | to | manage | cavity | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Amoxicillin was administered for gingivitis .,Amoxicillin | was | administered | for | gingivitis | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
