example_id,text,label,diagnosis,procedure,medication,tooth_number,source_type
1,Severe pain from tooth 15. Diagnosis: pulp infection. Emergency canal shaping commenced; metronidazole prescribed.,root_canal_form,pulp infection,canal shaping,metronidazole,15,synthetic_dental_form_example
2,Walk-in emergency: avulsed tooth. Dentist performed emergency consultation urgently; lidocaine dispensed.,emergency_form,avulsed tooth,emergency consultation,lidocaine,22,synthetic_dental_form_example
3,Broken temporary crown on tooth 18. tooth discoloration present. bridge fitting repeated; lidocaine advised.,crown_bridge_form,tooth discoloration,bridge fitting,lidocaine,18,synthetic_dental_form_example
4,Space maintainer placed for misaligned teeth. bracket placement will begin once permanent teeth erupt; orthodontic wax given.,orthodontic_form,misaligned teeth,bracket placement,orthodontic wax,25,synthetic_dental_form_example
5,Consultation for coffee staining. take-home whitening kit discussed; fluoride recommended.,whitening_form,coffee staining,take-home whitening kit,fluoride,21,synthetic_dental_form_example
6,Broken tooth emergency: lost filling on tooth 13. emergency extraction completed; clindamycin prescribed.,emergency_form,lost filling,emergency extraction,clindamycin,13,synthetic_dental_form_example
7,Dental trauma: dental trauma on tooth 16. abscess drainage carried out; ibuprofen prescribed.,emergency_form,dental trauma,abscess drainage,ibuprofen,16,synthetic_dental_form_example
8,Annual dental examination: patient reports bad breath. consultation completed; naproxen given.,consultation_form,bad breath,consultation,naproxen,5,synthetic_dental_form_example
9,Emergency appointment for cracked tooth emergency on tooth 22. abscess drainage performed; amoxicillin given.,emergency_form,cracked tooth emergency,abscess drainage,amoxicillin,22,synthetic_dental_form_example
10,Acute attachment loss treated with emergency flap surgery. metronidazole prescribed urgently.,periodontal_form,attachment loss,flap surgery,metronidazole,23,synthetic_dental_form_example
11,Exam indicates small cavity on tooth 29. temporary filling completed; ibuprofen prescribed.,filling_form,small cavity,temporary filling,ibuprofen,29,synthetic_dental_form_example
12,Retainer fitting following aligner fitting. spacing issues successfully corrected. orthodontic wax not required beyond today.,orthodontic_form,spacing issues,aligner fitting,orthodontic wax,9,synthetic_dental_form_example
13,Dental caries on tooth 14 treated with tooth-colored restoration. acetaminophen given for comfort.,filling_form,fractured cusp,tooth-colored restoration,acetaminophen,14,synthetic_dental_form_example
14,Annual dental examination: patient reports oral ulcers. bite assessment completed; lidocaine given.,consultation_form,oral ulcers,bite assessment,lidocaine,27,synthetic_dental_form_example
15,Patient completed teeth whitening course for tooth discoloration. Final shade recorded; hydrogen peroxide gel advised.,whitening_form,tooth discoloration,teeth whitening,hydrogen peroxide gel,31,synthetic_dental_form_example
